Frequency,PhaseNoise
348847.5353,-136.7536817
355130.1926,-136.7760568
361525.999,-136.9734687
368036.9923,-137.0141593
374665.247,-137.1216244
381412.8748,-137.1854875
388282.0258,-137.3606675
395274.8885,-137.4555911
402393.6909,-137.5425278
409640.7011,-137.5610421
417018.2282,-137.7527628
424528.6227,-137.8648983
432174.2776,-138.0564854
439957.6288,-138.1957958
447881.1562,-138.2518753
455947.3844,-138.3047672
464158.8834,-138.3796845
472518.2694,-138.4139898
481028.2058,-138.3083532
489691.4041,-138.6320838
498510.6245,-138.7687974
507488.6768,-138.8512264
516628.4216,-138.8694802
525932.7709,-139.0191044
535404.6892,-139.0362336
545047.1945,-137.9656748
554863.3588,-139.0972819
564856.3098,-139.4264722
575029.2314,-139.5033529
585385.3648,-139.5376526
595928.0096,-139.6569064
606660.5248,-139.7574355
617586.3299,-139.7456057
628708.906,-139.9583923
640031.797,-139.982286
651558.6104,-140.0342731
663293.0188,-140.1727191
675238.761,-140.229116
687399.6431,-140.2307585
699779.5397,-140.4208863
712382.395,-140.5532888
725212.2247,-140.6024025
738273.1164,-140.7110639
751569.2316,-140.7171024
765104.8064,-140.8191749
778884.1536,-140.8882868
792911.6634,-140.9193462
807191.8052,-140.9891132
821729.1288,-140.9900348
836528.2659,-141.096171
851593.9318,-141.2355039
866930.9266,-141.3448323
882544.1369,-141.4456302
898438.5372,-141.5656001
914619.1917,-141.6325465
931091.2558,-141.6736706
947859.9777,-141.6594054
964930.7,-141.6922384
982308.8618,-141.7578704
1000000,-141.8785566
1018009.751,-141.980144
1036343.854,-142.0148251
1055008.148,-142.1262257
1074008.583,-141.0006211
1093351.21,-142.1773104
1113042.193,-140.6094557
1133087.806,-142.4469519
1153494.436,-142.5891948
1174268.583,-142.7042736
1195416.868,-142.7778042
1216946.029,-142.8394691
1238862.924,-142.9439099
1261174.537,-142.9820849
1283887.977,-143.0622148
1307010.48,-143.175163
1330549.413,-143.2427891
1354512.277,-143.2679484
1378906.706,-143.4440688
1403740.473,-143.5319079
1429021.489,-143.6233913
1454757.811,-143.6924538
1480957.637,-143.7095657
1507629.316,-143.7506906
1534781.344,-143.8190822
1562422.375,-143.975745
1590561.213,-144.0505035
1619206.824,-144.1475445
1648368.336,-144.1333342
1678055.04,-144.2215119
1708276.394,-144.338966
1739042.027,-144.4050147
1770361.741,-144.5345556
1802245.515,-144.5998753
1834703.509,-144.7361098
1867746.062,-144.7631995
1901383.704,-144.8000753
1935627.151,-144.9025885
1970487.315,-144.9481644
2005975.301,-145.1431426
2042102.417,-145.1743594
2078880.174,-145.2600425
2116320.288,-145.2659795
2154434.69,-145.3622471
2193235.523,-145.052561
2232735.149,-145.4668488
2272946.153,-145.5645277
2313881.348,-145.6588505
2355553.775,-145.6722957
2397976.713,-145.7911816
2441163.677,-145.8699691
2485128.427,-145.8954652
2529884.972,-145.9817687
2575447.57,-146.1027365
2621830.74,-146.160752
2669049.26,-146.1965194
2717118.173,-146.2445145
2766052.795,-146.3158801
2815868.718,-146.3628294
2866581.812,-146.3579019
2918208.238,-146.4618867
2970764.442,-146.498152
3024267.17,-146.5627664
3078733.47,-146.6673491
3134180.693,-146.7500451
3190626.508,-146.7760058
3248088.897,-146.8234191
3306586.17,-146.8600064
3366136.964,-146.9749662
3426760.253,-147.0733714
3488475.353,-147.1661692
3551301.926,-147.1813385
3615259.99,-147.2048865
3680369.923,-147.2421437
3746652.47,-147.3232955
3814128.748,-147.4041472
3882820.258,-147.3255791
3952748.885,-147.494713
4023936.909,-147.5216135
